City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
0,estelle,40,US,1542485700,48,32.87,69.98,16.11,-97.01
1,pisco,0,PE,1542484800,30,-13.71,71.6,19.46,-76.2
2,bogorodskoye,80,RU,1542487143,74,52.37,22.29,8.95,140.44
3,muroto,8,JP,1542487143,100,33.37,51.22,9.06,134.14
4,provideniya,68,RU,1542487143,100,64.42,33.45,18.34,-173.23
5,albany,90,US,1542484440,54,42.65,42.08,11.41,-73.75
6,berlevag,75,NO,1542484200,59,70.86,37.4,17.22,29.09
7,kaitangata,20,NZ,1542487144,81,-46.28,52.17,17.34,169.85
8,pathalgaon,0,IN,1542487145,82,22.56,54.6,3.02,83.46
9,rikitea,0,PF,1542487145,99,-23.12,76.29,12.19,-134.97
10,svalyava,12,UA,1542484800,69,48.55,37.4,3.36,22.99
11,half moon bay,1,US,1542484800,76,37.46,62.6,5.82,-122.43
12,kavaratti,88,IN,1542487146,100,10.57,79.12,13.98,72.64
13,severo-kurilsk,44,RU,1542487146,100,50.68,35.29,14.99,156.12
14,marzuq,48,YE,1542487146,35,14.4,52.21,3.36,46.47
15,paulo afonso,0,BR,1542487146,30,-9.4,90.6,15.1,-38.23
16,nikolskoye,0,RU,1542484800,81,59.7,42.8,17.9,30.79
17,chokurdakh,56,RU,1542487147,68,70.62,-9.13,3.36,147.9
18,jiuquan,0,CN,1542487147,54,39.73,-1.57,2.68,98.49
19,kendari,88,ID,1542487148,98,-3.99,72.19,2.91,122.52
20,ushuaia,20,AR,1542484800,34,-54.81,51.8,5.82,-68.31
21,bredasdorp,0,ZA,1542484800,59,-34.53,62.6,3.36,20.04
22,barrow,36,AR,1542487149,96,-38.31,56.26,22.26,-60.23
23,ribeira grande,40,PT,1542484800,58,38.52,57.2,6.93,-28.7
24,kapaa,90,US,1542484560,62,22.08,80.06,21.92,-159.32
25,saskylakh,56,RU,1542487149,64,71.97,-8.23,5.37,114.09
26,vaini,20,IN,1542487150,93,15.34,68.77,1.68,74.49
27,ostrovnoy,92,RU,1542487150,97,68.05,34.17,32.66,39.51
28,hermanus,24,ZA,1542487150,76,-34.42,56.44,6.38,19.24
29,kasongo-lunda,44,CD,1542487150,93,-6.48,71.34,2.24,16.82
30,fortuna,40,ES,1542484800,87,38.18,62.6,5.82,-1.13
31,arraial do cabo,20,BR,1542484800,69,-22.97,78.8,9.17,-42.02
32,bilma,0,NE,1542487151,33,18.69,58.92,5.48,12.92
33,puerto ayora,20,EC,1542484800,57,-0.74,80.6,20.8,-90.35
34,hobart,75,AU,1542484800,66,-42.88,53.6,5.82,147.33
35,flinders,0,AU,1542484800,100,-34.58,55.4,4.7,150.85
36,moose factory,90,CA,1542485040,60,51.26,10.4,20.8,-80.61
37,mataura,88,NZ,1542487153,100,-46.19,45.42,17.0,168.86
38,ponta do sol,44,BR,1542487153,54,-20.63,78.94,10.18,-46.0
39,tallahassee,40,US,1542484500,40,30.44,68.0,6.93,-84.28
40,carnarvon,12,ZA,1542487154,23,-30.97,63.15,6.71,22.13
41,zabaykalsk,0,CN,1542487154,58,49.64,0.64,7.94,117.33
42,punta arenas,0,CL,1542484800,70,-53.16,57.2,21.92,-70.91
43,salalah,20,OM,1542484200,74,17.01,78.8,3.36,54.1
44,jamestown,0,AU,1542487156,44,-33.21,54.46,6.93,138.6
45,tucuman,8,PE,1542487156,42,-17.17,70.44,3.91,-70.89
46,bluff,64,AU,1542487156,77,-23.58,72.87,8.95,149.07
47,aguimes,20,ES,1542484800,68,27.91,68.0,17.22,-15.45
48,port alfred,64,ZA,1542487157,89,-33.59,64.23,6.93,26.89
49,rawson,88,AR,1542487157,33,-43.3,66.39,8.95,-65.11
50,havoysund,44,NO,1542484200,86,71.0,37.4,12.75,24.66
51,ilulissat,75,GL,1542484200,85,69.22,21.2,17.22,-51.1
52,ornskoldsvik,0,SE,1542484200,100,63.29,42.8,8.05,18.72
53,del rio,1,US,1542484560,45,29.36,69.98,6.93,-100.9
54,taksimo,44,RU,1542487159,60,56.36,-9.49,2.57,114.84
55,klaksvik,8,FO,1542484200,87,62.23,46.4,18.34,-6.59
56,nome,40,US,1542485700,48,30.04,71.06,8.05,-94.42
57,camden,40,US,1542485700,85,39.94,48.92,8.05,-75.12
